ID,KP,KI,KD,Set point, Process Value, Current Value,Overshoot, Settling time,Steady-state error, Day,Time
0,0.012741744,0.012741744,0.008517208,200,0.560000002,150.1416626,11.78333282,12.88659794,0.283332825,1/10/2021,0.948
1,0.012741744,0.012741744,0.008517208,200,0.560000002,150.6333313,11.78333282,12.88659794,0.283332825,1/10/2021,1.468
2,0.012741744,0.012741744,0.008517208,200,0.560000002,151.2416687,11.78333282,12.88659794,0.283332825,1/10/2021,1.908
3,0.012741744,0.012741744,0.008517208,200,0.560000002,153.4583282,11.78333282,12.88659794,0.283332825,1/10/2021,2.471
4,0.012741744,0.012741744,0.008517208,200,0.560000002,153.4583282,11.78333282,12.88659794,0.283332825,1/10/2021,2.471
5,0.012741744,0.012741744,0.008517208,200,0.560000002,165.1083374,11.78333282,12.88659794,0.283332825,1/10/2021,3.972
6,0.012741744,0.012741744,0.008517208,200,0.560000002,170.7333374,11.78333282,12.88659794,0.283332825,1/10/2021,4.516
7,0.012741744,0.012741744,0.008517208,200,0.560000002,175.6499939,11.78333282,12.88659794,0.283332825,1/10/2021,4.95
8,0.012741744,0.012741744,0.008517208,200,0.560000002,180.1666718,11.78333282,12.88659794,0.283332825,1/10/2021,5.479
9,0.012741744,0.012741744,0.008517208,200,0.560000002,184.2416687,11.78333282,12.88659794,0.283332825,1/10/2021,6.004
10,0.012741744,0.012741744,0.008517208,200,0.560000002,186.0666656,11.78333282,12.88659794,0.283332825,1/10/2021,6.527
11,0.012741744,0.012741744,0.008517208,200,23.20999908,189.3416595,11.78333282,12.88659794,0.283332825,1/10/2021,7.063
12,0.012741744,0.012741744,0.008517208,200,1.419999957,199.9083405,11.78333282,12.88659794,0.283332825,1/10/2021,15.614
13,0.012741744,0.012741744,0.008517208,200,0.930000007,200.1916656,11.78333282,12.88659794,0.283332825,1/10/2021,16.168
14,0.012741744,0.012741744,0.008517208,200,0.930000007,199.7833405,11.78333282,12.88659794,0.283332825,1/10/2021,16.664
15,0.012741744,0.012741744,0.008517208,200,0.930000007,200.2083282,11.78333282,12.88659794,0.283332825,1/10/2021,17.1
16,0.012741744,0.012741744,0.008517208,200,0.930000007,199.8916626,11.78333282,12.88659794,0.283332825,1/10/2021,17.613
17,0.012741744,0.012741744,0.008517208,200,0.349999994,199.9416656,11.78333282,12.88659794,0.283332825,1/10/2021,18.178
18,0.012741744,0.012741744,0.008517208,200,0.349999994,200.1999969,11.78333282,12.88659794,0.283332825,1/10/2021,18.693
19,0.012741744,0.012741744,0.008517208,200,5.880000114,199.7916718,11.78333282,12.88659794,0.283332825,1/10/2021,19.113
20,0.012741744,0.012741744,0.008517208,200,5.880000114,200.1416626,11.78333282,12.88659794,0.283332825,1/10/2021,19.652
21,0.012741744,0.012741744,0.008517208,200,5.880000114,200.2083282,11.78333282,12.88659794,0.283332825,1/10/2021,20
22,0.012741744,0.012741744,0.008517208,200,5.880000114,199.8083344,0.434565618,8.350515464,0.217282809,1/10/2021,20
24,0.0044197021052241325,0.0044197021052241325,0.0003309216699562967,200.0,0.0,186.36666870117188,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,20
25,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,0.0,201.94166564941406,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,0.531
26,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,12.279999732971191,200.5,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,1.061
27,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,12.279999732971191,198.88333129882812,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,1.593
28,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,32.34000015258789,193.4499969482422,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,2.11
29,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,32.34000015258789,190.01666259765625,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,2.639
30,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,50.0,181.65834045410156,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,3.045
31,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,50.0,177.5416717529297,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,3.58
32,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,50.0,172.84165954589844,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,4.122
33,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,50.0,164.51666259765625,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,4.654
34,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,33.43000030517578,161.43333435058594,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,5.072
35,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,33.43000030517578,158.9166717529297,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,5.619
36,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,33.43000030517578,155.72500610351562,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,6.13
37,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,33.43000030517578,155.24166870117188,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,6.64
38,0.025999000295996666,0.025999000295996666,0.016777999699115753,150.0,33.43000030517578,154.89166259765625,42.57562148187255,19.896907216494846,36.365717107701286,01/10/2021,7.172
