ID,KP,KI,KD,Set point, Process Value, Current Value,Overshoot, Settling time,Steady-state error, Day,Time
6551,0.035477001,0.009954,0.039103001,200,2.480000019,200.3249969,5.028206476,7.731958763,0.165945027,1/10/2021,17.695
6552,0.035477001,0.009954,0.039103001,200,2.619999886,200.3000031,5.028206476,7.731958763,0.165945027,1/10/2021,18.019
6553,0.035477001,0.009954,0.039103001,200,2.619999886,200.2833405,5.028206476,7.731958763,0.165945027,1/10/2021,18.335
6554,0.035477001,0.009954,0.039103001,200,2.619999886,200.2749939,5.028206476,7.731958763,0.165945027,1/10/2021,18.644
6555,0.035477001,0.009954,0.039103001,200,2.619999886,200.2583313,5.028206476,7.731958763,0.165945027,1/10/2021,18.966
6556,0.035477001,0.009954,0.039103001,200,2.75,200.2416687,5.028206476,7.731958763,0.165945027,1/10/2021,19.277
6557,0.035477001,0.009954,0.039103001,200,2.75,200.2250061,5.028206476,7.731958763,0.165945027,1/10/2021,19.49
6558,0.035477001,0.009954,0.039103001,200,2.75,200.2083282,5.028206476,7.731958763,0.165945027,1/10/2021,19.797
6559,0.035477001,0.009954,0.039103001,200,2.779999971,200.1833344,5.028206476,7.731958763,0.165945027,1/10/2021,20
6560,0.035477001,0.009954,0.039103001,200,2.779999971,200.1833344,5.94108523,10.72164948,0.366119516,1/10/2021,20
6561,0.035477001,0.009954,0.039103001,200,0,200.1833344,5.94108523,10.72164948,0.366119516,1/10/2021,20
