"ID","Name","object"
"122","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02849111333489418""},""kd"":{""N"":""0.0392359234392643""},""ki"":{""N"":""0.008620133623480797""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.22600887068303877""},""overshoot"":{""N"":""7.614737761586625""},""settlingTime"":{""N"":""14.100000000000001""}}}}"
"273","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0068884496577084064""},""kd"":{""N"":""0.044636983424425125""},""ki"":{""N"":""0.008265173994004726""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.2848560388234893""},""overshoot"":{""N"":""28.935962099977846""},""settlingTime"":{""N"":""17.6""}}}}"
"333","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.05373715981841087""},""kd"":{""N"":""0.0366029255092144""},""ki"":{""N"":""0.005144316703081131""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.09974910136767456""},""overshoot"":{""N"":""19.102245911101154""},""settlingTime"":{""N"":""11.5""}}}}"
"145","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03220680356025696""},""kd"":{""N"":""0.0400208979845047""},""ki"":{""N"":""0.010646293871104717""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.2495840329589852""},""overshoot"":{""N"":""8.36939015747147""},""settlingTime"":{""N"":""11.9""}}}}"
"195","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.017485864460468292""},""kd"":{""N"":""0.03846919536590576""},""ki"":{""N"":""0.011404456570744514""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.3339481180784168""},""overshoot"":{""N"":""17.815995664659255""},""settlingTime"":{""N"":""9""}}}}"
"359","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03277309238910675""},""kd"":{""N"":""0.039867911487817764""},""ki"":{""N"":""0.0071884868666529655""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.2011034084072054""},""overshoot"":{""N"":""6.657516105772629""},""settlingTime"":{""N"":""16.6""}}}}"
"395","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.031842704862356186""},""kd"":{""N"":""0.036681853234767914""},""ki"":{""N"":""0.007892482914030552""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.8256494693661459""},""overshoot"":{""N"":""7.398415664840799""},""settlingTime"":{""N"":""14.8""}}}}"
"256","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.01232198067009449""},""kd"":{""N"":""0.041310835629701614""},""ki"":{""N"":""0.01042942050844431""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.0086013851891962""},""overshoot"":{""N"":""23.181210678911643""},""settlingTime"":{""N"":""5.800000000000001""}}}}"
"130","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.022894779220223427""},""kd"":{""N"":""0.03968028724193573""},""ki"":{""N"":""0.005097058601677418""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""8.852011409550553""},""overshoot"":{""N"":""11.679734540679483""},""settlingTime"":{""N"":""19""}}}}"
"386","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03457019478082657""},""kd"":{""N"":""0.039822496473789215""},""ki"":{""N"":""0.0075691635720431805""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.8163935223923238""},""overshoot"":{""N"":""4.248583827000415""},""settlingTime"":{""N"":""14.600000000000001""}}}}"
"369","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.031363923102617264""},""kd"":{""N"":""0.04185977578163147""},""ki"":{""N"":""0.007397847715765238""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.9585855914818033""},""overshoot"":{""N"":""8.87573984531515""},""settlingTime"":{""N"":""13.100000000000001""}}}}"
"79","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.004690981470048428""},""kd"":{""N"":""0.04038830101490021""},""ki"":{""N"":""0.0005574200768023729""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""29.441185929386148""},""overshoot"":{""N"":""33.37681374791983""},""settlingTime"":{""N"":""18.900000000000002""}}}}"
